Timestamp,CPU_Usage,RAM_Usage,GPU_Usage
2024-08-07 14:45:33.971329,2.9,65.7,4.0
2024-08-07 14:45:35.076587,1.4,65.8,0.0
2024-08-07 14:45:36.171007,0.1,65.8,0.0
2024-08-07 14:45:37.278089,0.7,65.7,0.0
2024-08-07 14:45:38.373146,0.7,65.7,0.0
2024-08-07 14:45:39.482636,0.3,65.6,0.0
2024-08-07 14:45:40.578229,0.3,65.6,0.0
2024-08-07 14:45:41.678259,0.5,65.6,0.0
2024-08-07 14:45:42.790754,0.7,65.6,0.0
2024-08-07 14:45:43.886976,0.7,65.6,0.0
2024-08-07 14:45:44.994806,1.4,65.7,0.0
2024-08-07 14:45:46.105840,4.2,65.5,0.0
2024-08-07 14:45:47.209028,1.6,65.5,0.0
2024-08-07 14:45:48.309415,2.5,65.6,3.0
2024-08-07 14:45:49.408871,1.1,65.6,0.0
2024-08-07 14:45:50.505631,0.5,65.6,0.0
2024-08-07 14:45:51.610555,0.9,65.6,0.0
2024-08-07 14:45:52.715552,0.0,65.6,0.0
2024-08-07 14:45:53.823914,0.7,65.5,0.0
2024-08-07 14:45:54.921898,0.3,65.5,0.0
2024-08-07 14:45:56.015846,0.9,65.6,0.0
2024-08-07 14:45:57.112610,0.8,65.5,0.0
2024-08-07 14:45:58.213688,1.2,65.5,0.0
2024-08-07 14:45:59.306731,1.1,65.6,0.0
2024-08-07 14:46:00.403185,1.3,65.6,1.0
2024-08-07 14:46:01.509651,0.1,65.6,0.0
2024-08-07 14:46:02.619892,0.1,65.6,0.0
2024-08-07 14:46:03.712641,0.3,65.5,0.0
2024-08-07 14:46:04.819818,1.8,65.6,0.0
2024-08-07 14:46:05.928719,3.0,65.9,2.0
2024-08-07 14:46:07.030796,1.7,65.7,0.0
2024-08-07 14:46:08.126660,1.1,65.7,0.0
2024-08-07 14:46:09.248844,0.3,65.6,0.0
2024-08-07 14:46:10.340574,3.0,65.7,0.0
2024-08-07 14:46:11.436456,0.8,65.7,0.0
2024-08-07 14:46:12.544590,3.0,65.7,0.0
2024-08-07 14:46:13.636595,1.2,65.7,0.0
2024-08-07 14:46:14.735771,1.4,65.7,0.0
2024-08-07 14:46:15.837578,0.7,65.7,0.0
